quota,instcd,brcd,Cat,SubCat,TSeat,stcd1,stcd2,stcd3,stcd4,stcd5,stcd6,stcd7,stcd8,stcd9,stcd10
HS,NNG,CSE,OP,NO,0,NL,,,,,,,,,
HS,NNG,CSE,OP,PH,0,NL,,,,,,,,,
HS,NNG,CSE,SC,NO,0,NL,,,,,,,,,
HS,NNG,CSE,SC,PH,0,NL,,,,,,,,,
HS,NNG,CSE,ST,NO,15,NL,,,,,,,,,
HS,NNG,CSE,ST,PH,0,NL,,,,,,,,,
HS,NNG,CSE,BC,NO,0,NL,,,,,,,,,
HS,NNG,CSE,BC,PH,0,NL,,,,,,,,,
HS,BIT,ARC,OP,NO,10,JR,,,,,,,,,
HS,BIT,ARC,OP,PH,0,JR,,,,,,,,,
HS,BIT,ARC,SC,NO,2,JR,,,,,,,,,
HS,BIT,ARC,SC,PH,0,JR,,,,,,,,,
HS,BIT,ARC,ST,NO,5,JR,,,,,,,,,
HS,BIT,ARC,ST,PH,0,JR,,,,,,,,,
HS,BIT,ARC,BC,NO,0,JR,,,,,,,,,
HS,BIT,ARC,BC,PH,0,JR,,,,,,,,,
OS,BIT,ARC,OP,NO,15,JR,,,,,,,,,
OS,BIT,ARC,OP,PH,1,JR,,,,,,,,,
OS,BIT,ARC,SC,NO,3,JR,,,,,,,,,
OS,BIT,ARC,SC,PH,0,JR,,,,,,,,,
OS,BIT,ARC,ST,NO,1,JR,,,,,,,,,
OS,BIT,ARC,ST,PH,0,JR,,,,,,,,,
OS,BIT,ARC,BC,NO,0,JR,,,,,,,,,
OS,BIT,ARC,BC,PH,0,JR,,,,,,,,,
HS,BIT,BOT,OP,NO,14,JR,,,,,,,,,
HS,BIT,BOT,OP,PH,1,JR,,,,,,,,,
HS,BIT,BOT,SC,NO,3,JR,,,,,,,,,
HS,BIT,BOT,SC,PH,0,JR,,,,,,,,,
HS,BIT,BOT,ST,NO,8,JR,,,,,,,,,
HS,BIT,BOT,ST,PH,0,JR,,,,,,,,,
HS,BIT,BOT,BC,NO,0,JR,,,,,,,,,
HS,BIT,BOT,BC,PH,0,JR,,,,,,,,,
OS,BIT,BOT,OP,NO,22,JR,,,,,,,,,
OS,BIT,BOT,OP,PH,1,JR,,,,,,,,,
OS,BIT,BOT,SC,NO,5,JR,,,,,,,,,
OS,BIT,BOT,SC,PH,0,JR,,,,,,,,,
OS,BIT,BOT,ST,NO,2,JR,,,,,,,,,
OS,BIT,BOT,ST,PH,0,JR,,,,,,,,,
OS,BIT,BOT,BC,NO,0,JR,,,,,,,,,
OS,BIT,BOT,BC,PH,0,JR,,,,,,,,,
HS,BIT,CHE,OP,NO,15,JR,,,,,,,,,
HS,BIT,CHE,OP,PH,0,JR,,,,,,,,,
HS,BIT,CHE,SC,NO,3,JR,,,,,,,,,
HS,BIT,CHE,SC,PH,0,JR,,,,,,,,,
HS,BIT,CHE,ST,NO,8,JR,,,,,,,,,
HS,BIT,CHE,ST,PH,0,JR,,,,,,,,,
HS,BIT,CHE,BC,NO,0,JR,,,,,,,,,
HS,BIT,CHE,BC,PH,0,JR,,,,,,,,,
OS,BIT,CHE,OP,NO,23,JR,,,,,,,,,
OS,BIT,CHE,OP,PH,0,JR,,,,,,,,,
OS,BIT,CHE,SC,NO,5,JR,,,,,,,,,
OS,BIT,CHE,SC,PH,0,JR,,,,,,,,,
OS,BIT,CHE,ST,NO,2,JR,,,,,,,,,
OS,BIT,CHE,ST,PH,0,JR,,,,,,,,,
OS,BIT,CHE,BC,NO,0,JR,,,,,,,,,
OS,BIT,CHE,BC,PH,0,JR,,,,,,,,,
HS,BIT,CHP,OP,NO,15,JR,,,,,,,,,
HS,BIT,CHP,OP,PH,0,JR,,,,,,,,,
HS,BIT,CHP,SC,NO,3,JR,,,,,,,,,
HS,BIT,CHP,SC,PH,0,JR,,,,,,,,,
HS,BIT,CHP,ST,NO,8,JR,,,,,,,,,
HS,BIT,CHP,ST,PH,0,JR,,,,,,,,,
HS,BIT,CHP,BC,NO,0,JR,,,,,,,,,
HS,BIT,CHP,BC,PH,0,JR,,,,,,,,,
OS,BIT,CHP,OP,NO,23,JR,,,,,,,,,
OS,BIT,CHP,OP,PH,0,JR,,,,,,,,,
OS,BIT,CHP,SC,NO,5,JR,,,,,,,,,
OS,BIT,CHP,SC,PH,0,JR,,,,,,,,,
OS,BIT,CHP,ST,NO,2,JR,,,,,,,,,
OS,BIT,CHP,ST,PH,0,JR,,,,,,,,,
OS,BIT,CHP,BC,NO,0,JR,,,,,,,,,
OS,BIT,CHP,BC,PH,0,JR,,,,,,,,,
HS,BIT,CIV,OP,NO,14,JR,,,,,,,,,
HS,BIT,CIV,OP,PH,1,JR,,,,,,,,,
HS,BIT,CIV,SC,NO,3,JR,,,,,,,,,
HS,BIT,CIV,SC,PH,0,JR,,,,,,,,,
HS,BIT,CIV,ST,NO,7,JR,,,,,,,,,
HS,BIT,CIV,ST,PH,1,JR,,,,,,,,,
HS,BIT,CIV,BC,NO,0,JR,,,,,,,,,
HS,BIT,CIV,BC,PH,0,JR,,,,,,,,,
OS,BIT,CIV,OP,NO,22,JR,,,,,,,,,
OS,BIT,CIV,OP,PH,1,JR,,,,,,,,,
OS,BIT,CIV,SC,NO,5,JR,,,,,,,,,
OS,BIT,CIV,SC,PH,0,JR,,,,,,,,,
OS,BIT,CIV,ST,NO,2,JR,,,,,,,,,
OS,BIT,CIV,ST,PH,0,JR,,,,,,,,,
OS,BIT,CIV,BC,NO,0,JR,,,,,,,,,
OS,BIT,CIV,BC,PH,0,JR,,,,,,,,,
HS,BIT,CSE,OP,NO,28,JR,,,,,,,,,
HS,BIT,CSE,OP,PH,2,JR,,,,,,,,,
HS,BIT,CSE,SC,NO,5,JR,,,,,,,,,
HS,BIT,CSE,SC,PH,1,JR,,,,,,,,,
HS,BIT,CSE,ST,NO,15,JR,,,,,,,,,
HS,BIT,CSE,ST,PH,0,JR,,,,,,,,,
HS,BIT,CSE,BC,NO,0,JR,,,,,,,,,
HS,BIT,CSE,BC,PH,0,JR,,,,,,,,,
OS,BIT,CSE,OP,NO,45,JR,,,,,,,,,
OS,BIT,CSE,OP,PH,2,JR,,,,,,,,,
OS,BIT,CSE,SC,NO,8,JR,,,,,,,,,
OS,BIT,CSE,SC,PH,1,JR,,,,,,,,,
OS,BIT,CSE,ST,NO,3,JR,,,,,,,,,
OS,BIT,CSE,ST,PH,1,JR,,,,,,,,,
OS,BIT,CSE,BC,NO,0,JR,,,,,,,,,
OS,BIT,CSE,BC,PH,0,JR,,,,,,,,,
HS,BIT,ECE,OP,NO,28,JR,,,,,,,,,
HS,BIT,ECE,OP,PH,2,JR,,,,,,,,,
HS,BIT,ECE,SC,NO,5,JR,,,,,,,,,
HS,BIT,ECE,SC,PH,1,JR,,,,,,,,,
HS,BIT,ECE,ST,NO,14,JR,,,,,,,,,
HS,BIT,ECE,ST,PH,1,JR,,,,,,,,,
HS,BIT,ECE,BC,NO,0,JR,,,,,,,,,
HS,BIT,ECE,BC,PH,0,JR,,,,,,,,,
OS,BIT,ECE,OP,NO,45,JR,,,,,,,,,
OS,BIT,ECE,OP,PH,2,JR,,,,,,,,,
OS,BIT,ECE,SC,NO,8,JR,,,,,,,,,
OS,BIT,ECE,SC,PH,1,JR,,,,,,,,,
OS,BIT,ECE,ST,NO,3,JR,,,,,,,,,
OS,BIT,ECE,ST,PH,1,JR,,,,,,,,,
OS,BIT,ECE,BC,NO,0,JR,,,,,,,,,
OS,BIT,ECE,BC,PH,0,JR,,,,,,,,,
HS,BIT,EEE,OP,NO,15,JR,,,,,,,,,
HS,BIT,EEE,OP,PH,0,JR,,,,,,,,,
HS,BIT,EEE,SC,NO,3,JR,,,,,,,,,
HS,BIT,EEE,SC,PH,0,JR,,,,,,,,,
HS,BIT,EEE,ST,NO,8,JR,,,,,,,,,
HS,BIT,EEE,ST,PH,0,JR,,,,,,,,,
HS,BIT,EEE,BC,NO,0,JR,,,,,,,,,
HS,BIT,EEE,BC,PH,0,JR,,,,,,,,,
OS,BIT,EEE,OP,NO,23,JR,,,,,,,,,
OS,BIT,EEE,OP,PH,0,JR,,,,,,,,,
OS,BIT,EEE,SC,NO,5,JR,,,,,,,,,
OS,BIT,EEE,SC,PH,0,JR,,,,,,,,,
OS,BIT,EEE,ST,NO,2,JR,,,,,,,,,
OS,BIT,EEE,ST,PH,0,JR,,,,,,,,,
OS,BIT,EEE,BC,NO,0,JR,,,,,,,,,
OS,BIT,EEE,BC,PH,0,JR,,,,,,,,,
HS,BIT,ITY,OP,NO,14,JR,,,,,,,,,
HS,BIT,ITY,OP,PH,1,JR,,,,,,,,,
HS,BIT,ITY,SC,NO,3,JR,,,,,,,,,
HS,BIT,ITY,SC,PH,0,JR,,,,,,,,,
HS,BIT,ITY,ST,NO,8,JR,,,,,,,,,
HS,BIT,ITY,ST,PH,0,JR,,,,,,,,,
HS,BIT,ITY,BC,NO,0,JR,,,,,,,,,
HS,BIT,ITY,BC,PH,0,JR,,,,,,,,,
OS,BIT,ITY,OP,NO,22,JR,,,,,,,,,
OS,BIT,ITY,OP,PH,1,JR,,,,,,,,,
OS,BIT,ITY,SC,NO,5,JR,,,,,,,,,
OS,BIT,ITY,SC,PH,0,JR,,,,,,,,,
OS,BIT,ITY,ST,NO,2,JR,,,,,,,,,
OS,BIT,ITY,ST,PH,0,JR,,,,,,,,,
OS,BIT,ITY,BC,NO,0,JR,,,,,,,,,
OS,BIT,ITY,BC,PH,0,JR,,,,,,,,,
HS,BIT,MEC,OP,NO,23,JR,,,,,,,,,
HS,BIT,MEC,OP,PH,0,JR,,,,,,,,,
HS,BIT,MEC,SC,NO,5,JR,,,,,,,,,
HS,BIT,MEC,SC,PH,0,JR,,,,,,,,,
HS,BIT,MEC,ST,NO,11,JR,,,,,,,,,
HS,BIT,MEC,ST,PH,0,JR,,,,,,,,,
HS,BIT,MEC,BC,NO,0,JR,,,,,,,,,
HS,BIT,MEC,BC,PH,0,JR,,,,,,,,,
OS,BIT,MEC,OP,NO,35,JR,,,,,,,,,
OS,BIT,MEC,OP,PH,0,JR,,,,,,,,,
OS,BIT,MEC,SC,NO,7,JR,,,,,,,,,
OS,BIT,MEC,SC,PH,0,JR,,,,,,,,,
OS,BIT,MEC,ST,NO,3,JR,,,,,,,,,
OS,BIT,MEC,ST,PH,0,JR,,,,,,,,,
OS,BIT,MEC,BC,NO,0,JR,,,,,,,,,
OS,BIT,MEC,BC,PH,0,JR,,,,,,,,,
HS,BIT,PRO,OP,NO,7,JR,,,,,,,,,
HS,BIT,PRO,OP,PH,0,JR,,,,,,,,,
HS,BIT,PRO,SC,NO,2,JR,,,,,,,,,
HS,BIT,PRO,SC,PH,0,JR,,,,,,,,,
HS,BIT,PRO,ST,NO,4,JR,,,,,,,,,
HS,BIT,PRO,ST,PH,0,JR,,,,,,,,,
HS,BIT,PRO,BC,NO,0,JR,,,,,,,,,
HS,BIT,PRO,BC,PH,0,JR,,,,,,,,,
OS,BIT,PRO,OP,NO,12,JR,,,,,,,,,
OS,BIT,PRO,OP,PH,0,JR,,,,,,,,,
OS,BIT,PRO,SC,NO,2,JR,,,,,,,,,
OS,BIT,PRO,SC,PH,0,JR,,,,,,,,,
OS,BIT,PRO,ST,NO,1,JR,,,,,,,,,
OS,BIT,PRO,ST,PH,0,JR,,,,,,,,,
OS,BIT,PRO,BC,NO,0,JR,,,,,,,,,
OS,BIT,PRO,BC,PH,0,JR,,,,,,,,,
AI,DAM,CIV,OP,NO,10,,,,,,,,,,
AI,DAM,CIV,OP,PH,1,,,,,,,,,,
AI,DAM,CIV,SC,NO,2,,,,,,,,,,
AI,DAM,CIV,SC,PH,0,,,,,,,,,,
AI,DAM,CIV,ST,NO,3,,,,,,,,,,
AI,DAM,CIV,ST,PH,0,,,,,,,,,,
AI,DAM,CIV,BC,NO,6,,,,,,,,,,
AI,DAM,CIV,BC,PH,0,,,,,,,,,,
AI,DAM,ELE,OP,NO,11,,,,,,,,,,
AI,DAM,ELE,OP,PH,0,,,,,,,,,,
AI,DAM,ELE,SC,NO,1,,,,,,,,,,
AI,DAM,ELE,SC,PH,0,,,,,,,,,,
AI,DAM,ELE,ST,NO,4,,,,,,,,,,
AI,DAM,ELE,ST,PH,0,,,,,,,,,,
AI,DAM,ELE,BC,NO,6,,,,,,,,,,
AI,DAM,ELE,BC,PH,0,,,,,,,,,,
AI,DAM,MEC,OP,NO,11,,,,,,,,,,
AI,DAM,MEC,OP,PH,0,,,,,,,,,,
AI,DAM,MEC,SC,NO,2,,,,,,,,,,
AI,DAM,MEC,SC,PH,0,,,,,,,,,,
AI,DAM,MEC,ST,NO,3,,,,,,,,,,
AI,DAM,MEC,ST,PH,0,,,,,,,,,,
AI,DAM,MEC,BC,NO,5,,,,,,,,,,
AI,DAM,MEC,BC,PH,1,,,,,,,,,,
AI,DAU,EOE,OP,NO,29,,,,,,,,,,
AI,DAU,EOE,OP,PH,1,,,,,,,,,,
AI,DAU,EOE,SC,NO,9,,,,,,,,,,
AI,DAU,EOE,SC,PH,0,,,,,,,,,,
AI,DAU,EOE,ST,NO,5,,,,,,,,,,
AI,DAU,EOE,ST,PH,0,,,,,,,,,,
AI,DAU,EOE,BC,NO,15,,,,,,,,,,
AI,DAU,EOE,BC,PH,1,,,,,,,,,,
AI,DBH,CTT,OP,NO,29,,,,,,,,,,
AI,DBH,CTT,OP,PH,1,,,,,,,,,,
AI,DBH,CTT,SC,NO,9,,,,,,,,,,
AI,DBH,CTT,SC,PH,0,,,,,,,,,,
AI,DBH,CTT,ST,NO,5,,,,,,,,,,
AI,DBH,CTT,ST,PH,0,,,,,,,,,,
AI,DBH,CTT,BC,NO,15,,,,,,,,,,
AI,DBH,CTT,BC,PH,1,,,,,,,,,,
AI,DBL,CHE,OP,NO,29,,,,,,,,,,
AI,DBL,CHE,OP,PH,1,,,,,,,,,,
AI,DBL,CHE,SC,NO,9,,,,,,,,,,
AI,DBL,CHE,SC,PH,0,,,,,,,,,,
AI,DBL,CHE,ST,NO,4,,,,,,,,,,
AI,DBL,CHE,ST,PH,0,,,,,,,,,,
AI,DBL,CHE,BC,NO,16,,,,,,,,,,
AI,DBL,CHE,BC,PH,1,,,,,,,,,,
AI,DBL,CIV,OP,NO,19,,,,,,,,,,
AI,DBL,CIV,OP,PH,1,,,,,,,,,,
AI,DBL,CIV,SC,NO,6,,,,,,,,,,
AI,DBL,CIV,SC,PH,0,,,,,,,,,,
AI,DBL,CIV,ST,NO,3,,,,,,,,,,
AI,DBL,CIV,ST,PH,0,,,,,,,,,,
AI,DBL,CIV,BC,NO,11,,,,,,,,,,
AI,DBL,CIV,BC,PH,0,,,,,,,,,,
AI,DBL,CSE,OP,NO,29,,,,,,,,,,
AI,DBL,CSE,OP,PH,1,,,,,,,,,,
AI,DBL,CSE,SC,NO,8,,,,,,,,,,
AI,DBL,CSE,SC,PH,1,,,,,,,,,,
AI,DBL,CSE,ST,NO,5,,,,,,,,,,
AI,DBL,CSE,ST,PH,0,,,,,,,,,,
AI,DBL,CSE,BC,NO,16,,,,,,,,,,
AI,DBL,CSE,BC,PH,0,,,,,,,,,,
AI,DBL,ECE,OP,NO,30,,,,,,,,,,
AI,DBL,ECE,OP,PH,1,,,,,,,,,,
AI,DBL,ECE,SC,NO,8,,,,,,,,,,
AI,DBL,ECE,SC,PH,1,,,,,,,,,,
AI,DBL,ECE,ST,NO,4,,,,,,,,,,
AI,DBL,ECE,ST,PH,0,,,,,,,,,,
AI,DBL,ECE,BC,NO,16,,,,,,,,,,
AI,DBL,ECE,BC,PH,0,,,,,,,,,,
AI,DBL,IPE,OP,NO,30,,,,,,,,,,
AI,DBL,IPE,OP,PH,0,,,,,,,,,,
AI,DBL,IPE,SC,NO,9,,,,,,,,,,
AI,DBL,IPE,SC,PH,0,,,,,,,,,,
AI,DBL,IPE,ST,NO,4,,,,,,,,,,
AI,DBL,IPE,ST,PH,1,,,,,,,,,,
AI,DBL,IPE,BC,NO,16,,,,,,,,,,
AI,DBL,IPE,BC,PH,0,,,,,,,,,,
AI,DBL,ITY,OP,NO,29,,,,,,,,,,
AI,DBL,ITY,OP,PH,1,,,,,,,,,,
AI,DBL,ITY,SC,NO,9,,,,,,,,,,
AI,DBL,ITY,SC,PH,0,,,,,,,,,,
AI,DBL,ITY,ST,NO,5,,,,,,,,,,
AI,DBL,ITY,ST,PH,0,,,,,,,,,,
AI,DBL,ITY,BC,NO,15,,,,,,,,,,
AI,DBL,ITY,BC,PH,1,,,,,,,,,,
AI,DBL,MEC,OP,NO,30,,,,,,,,,,
AI,DBL,MEC,OP,PH,1,,,,,,,,,,
AI,DBL,MEC,SC,NO,9,,,,,,,,,,
AI,DBL,MEC,SC,PH,0,,,,,,,,,,
AI,DBL,MEC,ST,NO,4,,,,,,,,,,
AI,DBL,MEC,ST,PH,0,,,,,,,,,,
AI,DBL,MEC,BC,NO,15,,,,,,,,,,
AI,DBL,MEC,BC,PH,1,,,,,,,,,,
AI,DBP,ARC,OP,NO,37,,,,,,,,,,
AI,DBP,ARC,OP,PH,1,,,,,,,,,,
AI,DBP,ARC,SC,NO,11,,,,,,,,,,
AI,DBP,ARC,SC,PH,0,,,,,,,,,,
AI,DBP,ARC,ST,NO,6,,,,,,,,,,
AI,DBP,ARC,ST,PH,0,,,,,,,,,,
AI,DBP,ARC,BC,NO,19,,,,,,,,,,
AI,DBP,ARC,BC,PH,1,,,,,,,,,,
AI,DBP,PLN,OP,NO,14,,,,,,,,,,
AI,DBP,PLN,OP,PH,1,,,,,,,,,,
AI,DBP,PLN,SC,NO,5,,,,,,,,,,
AI,DBP,PLN,SC,PH,0,,,,,,,,,,
AI,DBP,PLN,ST,NO,2,,,,,,,,,,
AI,DBP,PLN,ST,PH,0,,,,,,,,,,
AI,DBP,PLN,BC,NO,8,,,,,,,,,,
AI,DBP,PLN,BC,PH,0,,,,,,,,,,
AI,DDE,ARC,OP,NO,51,,,,,,,,,,
AI,DDE,ARC,OP,PH,1,,,,,,,,,,
AI,DDE,ARC,SC,NO,15,,,,,,,,,,
AI,DDE,ARC,SC,PH,1,,,,,,,,,,
AI,DDE,ARC,ST,NO,8,,,,,,,,,,
AI,DDE,ARC,ST,PH,0,,,,,,,,,,
AI,DDE,ARC,BC,NO,27,,,,,,,,,,
AI,DDE,ARC,BC,PH,1,,,,,,,,,,
AI,DDE,PLN,OP,NO,15,,,,,,,,,,
AI,DDE,PLN,OP,PH,1,,,,,,,,,,
AI,DDE,PLN,SC,NO,5,,,,,,,,,,
AI,DDE,PLN,SC,PH,0,,,,,,,,,,
AI,DDE,PLN,ST,NO,3,,,,,,,,,,
AI,DDE,PLN,ST,PH,0,,,,,,,,,,
AI,DDE,PLN,BC,NO,9,,,,,,,,,,
AI,DDE,PLN,BC,PH,0,,,,,,,,,,
AI,DFF,MAN,OP,NO,37,,,,,,,,,,
AI,DFF,MAN,OP,PH,1,,,,,,,,,,
AI,DFF,MAN,SC,NO,11,,,,,,,,,,
AI,DFF,MAN,SC,PH,1,,,,,,,,,,
AI,DFF,MAN,ST,NO,5,,,,,,,,,,
AI,DFF,MAN,ST,PH,1,,,,,,,,,,
AI,DFF,MAN,BC,NO,20,,,,,,,,,,
AI,DFF,MAN,BC,PH,1,,,,,,,,,,
AI,DFF,MME,OP,NO,31,,,,,,,,,,
AI,DFF,MME,OP,PH,0,,,,,,,,,,
AI,DFF,MME,SC,NO,9,,,,,,,,,,
AI,DFF,MME,SC,PH,0,,,,,,,,,,
AI,DFF,MME,ST,NO,5,,,,,,,,,,
AI,DFF,MME,ST,PH,0,,,,,,,,,,
AI,DFF,MME,BC,NO,17,,,,,,,,,,
AI,DFF,MME,BC,PH,0,,,,,,,,,,
AI,DHA,CSE,OP,NO,46,,,,,,,,,,
AI,DHA,CSE,OP,PH,1,,,,,,,,,,
AI,DHA,CSE,SC,NO,13,,,,,,,,,,
AI,DHA,CSE,SC,PH,0,,,,,,,,,,
AI,DHA,CSE,ST,NO,7,,,,,,,,,,
AI,DHA,CSE,ST,PH,0,,,,,,,,,,
AI,DHA,CSE,BC,NO,24,,,,,,,,,,
AI,DHA,CSE,BC,PH,1,,,,,,,,,,
AI,DHA,ECE,OP,NO,45,,,,,,,,,,
AI,DHA,ECE,OP,PH,1,,,,,,,,,,
AI,DHA,ECE,SC,NO,13,,,,,,,,,,
AI,DHA,ECE,SC,PH,1,,,,,,,,,,
AI,DHA,ECE,ST,NO,6,,,,,,,,,,
